27,Marvin Bagley III,Sac,F,23,30,21.9,45.6,18.7,7.3,47,0.745,184,0.538,62,0.242,0.494,0.521,9.3,7.2,17.7,0.6,3.9,0.3,0.37,0.7,6.3,111,109.1
28,Marvin Bagley III,Det,F,23,9,26.7,55.6,22.2,7.3,18,0.5,91,0.604,16,0.188,0.556,0.557,14.2,7.2,14.6,1,6.9,0.78,0.22,1,7,111.5,108.4
29,LaMelo Ball,Cha,G,20.56,61,32.1,66.9,28.2,15,214,0.864,580,0.462,438,0.363,0.498,0.539,19.6,6.9,11.2,7.3,34.9,1.51,0.43,3.21,12.4,109.3,104.8
30,Lonzo Ball,Chi,G,24.38,35,34.6,72.2,17.3,17.2,28,0.75,123,0.423,260,0.423,0.567,0.575,13,5.4,8.8,5.1,19.8,1.83,0.89,2.34,8.2,110,106.9
31,Mo Bamba,Orl,C,23.84,58,26.1,54.4,16.8,10.9,58,0.828,281,0.569,217,0.359,0.556,0.575,10.4,8,16.2,1.1,6.8,0.59,1.74,1.1,6.9,112.8,103
32,Desmond Bane,Mem,G,23.72,65,30.1,62.7,23,8.6,127,0.898,494,0.486,452,0.416,0.552,0.578,17.8,4.5,7.8,2.6,12.5,1.12,0.4,1.45,7.9,116,104.6
33,Dalano Banton,Tor,F,22.35,57,11.6,24.1,17,19.4,37,0.622,145,0.455,50,0.26,0.438,0.459,3.4,2,9.4,1.6,19.7,0.46,0.18,0.89,7.6,96.9,104.4
34,Cat Barber,Atl,G,20,3,4.3,8.9,23.2,14.8,4,0,4,0,0,0,0,0,0,1,12.9,1,27.3,0,0,0.33,0,37.6,110.8
35,Harrison Barnes,Sac,F,29.79,64,34,70.9,19.1,10.7,372,0.831,405,0.516,302,0.421,0.565,0.636,17.3,5.9,9.3,2.5,10.6,0.73,0.16,1.63,7.5,123.6,115.1
36,Scottie Barnes,Tor,F,20.62,59,35.5,73.9,18.9,12.1,176,0.733,584,0.536,151,0.311,0.522,0.551,15.2,7.6,11.6,3.3,14.2,1.17,0.81,1.9,8.2,114.5,106.7
37,RJ Barrett,Nyk,F-G,21.75,57,34,70.7,26.9,9.9,304,0.707,615,0.447,322,0.348,0.473,0.514,19.3,5.8,9,2.9,14.5,0.56,0.25,2.07,8.1,103.4,107.9
38,Will Barton,Den,G,31.18,58,31.8,66.3,21.3,11.9,106,0.792,389,0.514,351,0.359,0.526,0.548,14.9,4.9,8.5,3.8,17.9,0.81,0.5,1.83,8.2,106.9,109.3
39,Charles Bassey,Phi,C-F,21.37,23,7.3,15.2,16.1,13.3,12,0.75,43,0.698,4,0,0.638,0.66,3,2.7,20.5,0.3,6.6,0.22,0.74,0.35,7.4,131.1,89.7
40,Paris Bass,Pho,F,26.54,2,3.7,7.7,51.8,22.5,2,1,4,0.5,2,0,0.333,0.436,3,2,28.8,0,0,0.5,0,1,0,,
41,Keita Bates-Diop,San,F,26.14,51,16.1,33.5,14,12.9,48,0.708,167,0.557,49,0.347,0.549,0.571,5.3,3.9,12.6,0.7,5.4,0.49,0.27,0.69,6.1,110.6,108
42,Nicolas Batum,Lac,G-F,33.25,49,24.7,51.6,13.6,8,32,0.625,101,0.604,231,0.394,0.595,0.6,8.5,4.4,9.3,1.6,9.2,0.94,0.69,0.61,6.3,117.7,106.2
43,Kent Bazemore,Lal,G-F,32.7,37,14,29.2,13.3,11.8,17,0.765,58,0.276,76,0.382,0.444,0.466,3.6,1.8,6.7,0.9,8.4,0.65,0.22,0.51,5.1,96.2,102.9
44,Darius Bazley,Okc,F-G,21.75,62,27.7,57.8,17.7,11.8,138,0.688,336,0.491,226,0.292,0.47,0.5,10,6.5,12,1.4,7.7,0.87,1.11,1.34,6.5,98.3,109.7
45,Bradley Beal,Was,G,28.71,40,36,74.9,30.7,13.6,203,0.833,561,0.508,210,0.3,0.492,0.539,23.2,4.7,7.2,6.6,31.2,0.9,0.38,3.38,10,106,111.3
46,Malik Beasley,Min,G,25.29,68,25.4,52.8,20.1,4.8,47,0.766,197,0.437,572,0.376,0.531,0.54,12.5,2.9,6.1,1.4,8.3,0.53,0.15,0.59,5.8,109.6,112.4
47,Jordan Bell,Chi,F,27.18,1,2,4.2,0,,0,0,0,0,0,0,,,0,1,27.9,0,0,1,0,0,0,,
48,DeAndre' Bembry,Bro,G-F,27.69,48,19.8,41.2,11.7,11.6,35,0.6,177,0.599,36,0.417,0.603,0.609,5.8,3.2,8.7,1.3,8.6,0.98,0.52,0.63,5.8,119.7,104.2
49,DeAndre' Bembry,Mil,G-F,27.69,8,9.6,20.1,5,11.1,0,0,8,0.375,0,0,0.375,0.375,0.8,1.4,7.5,0.8,9.5,0.25,0,0.13,4,116.2,103.2
50,Davis Bertans,Was,F,29.33,34,14.7,30.7,17.6,7.1,30,0.933,27,0.519,144,0.319,0.485,0.527,5.7,1.8,6.7,0.5,4.5,0.32,0.18,0.41,4.7,103.8,106.4
51,Davis Bertans,Dal,F,29.33,11,14.6,30.3,19,1.5,6,0.667,10,0.4,54,0.278,0.414,0.428,5.2,2.5,9.7,0.5,5.4,0.27,0.27,0.09,5.1,93.1,100.9
52,Patrick Beverley,Min,G,33.67,47,25.6,53.3,16.2,13.9,92,0.707,154,0.481,207,0.343,0.5,0.531,9.1,4.2,8.7,4.8,25.7,1.13,0.89,1.38,8.9,116.2,101.9
53,Saddiq Bey,Det,F,22.93,68,33.7,70.2,20.9,7.7,204,0.828,441,0.447,499,0.345,0.484,0.524,15.9,5.8,9.2,2.8,13.6,0.82,0.22,1.26,7.6,109.6,113.5
54,Khem Birch,Tor,C,29.46,41,18.5,38.5,11.5,11.3,57,0.754,148,0.5,8,0,0.474,0.527,4.7,4.5,13.1,1.1,7.9,0.63,0.46,0.56,6.2,122.4,104.3
55,Goga Bitadze,Ind,C-F,22.65,42,12.3,25.6,20.2,14.4,65,0.631,119,0.605,60,0.25,0.528,0.554,5.5,3.2,14.2,0.9,10.3,0.33,0.74,0.83,8.2,111.4,100.9
56,Bismack Biyombo,Pho,C,29.54,24,15.2,31.6,17.3,13,57,0.544,102,0.618,0,0,0.618,0.618,6.5,5.2,18.2,0.7,6.4,0.46,0.83,0.79,7.6,124.5,93.6
57,Nemanja Bjelica,Gol,F,33.84,60,15.4,32.1,18.2,17.3,68,0.691,161,0.54,129,0.333,0.522,0.547,5.8,3.9,13.7,2,18.7,0.6,0.35,1.12,9.3,108.2,96.6
58,Eric Bledsoe,Lac,G,32.26,54,25.2,52.5,20.5,18.3,117,0.761,305,0.479,163,0.313,0.475,0.514,9.9,3.4,7,4.2,24.3,1.28,0.35,2.15,8.3,100.2,106.1
59,Keljin Blevins,Por,G,26.3,18,8.7,18.1,15.2,14.6,6,0.5,15,0.533,29,0.345,0.523,0.525,2.7,0.8,4.9,0.7,11.2,0.11,0.06,0.44,5.3,103,115.6
60,Bojan Bogdanovic,Uta,F,32.9,64,30.9,64.4,23.6,10.2,231,0.87,427,0.525,434,0.392,0.556,0.602,18.1,4.3,7.5,1.7,8.6,0.42,0.02,1.7,6.6,116.7,109.7
61,Bogdan Bogdanovic,Atl,G,29.57,49,29.5,61.5,20.4,8.5,73,0.836,241,0.544,344,0.355,0.537,0.558,14.1,4,7.5,3.1,15.6,1,0.27,1.16,7.6,112.8,110.6
62,Bol Bol,Den,C-F,22.32,13,6.2,12.9,17.6,12.4,3,0.667,23,0.609,4,0.25,0.574,0.583,2.5,1.5,13.7,0.4,9.3,0.08,0.15,0.31,7.4,110,108.4
63,Leandro Bolmaro,Min,F,21.5,28,7.4,15.4,11.7,22.4,9,0.889,24,0.333,17,0.235,0.341,0.4,1.3,1.3,9.5,0.5,7.9,0.21,0,0.46,5.1,88.5,104.1
64,Isaac Bonga,Tor,G,22.35,15,4.6,9.5,11.5,10.8,8,0.625,9,0.222,4,0.25,0.269,0.363,0.8,0.5,5.5,0.3,7.4,0.53,0.13,0.13,4.3,92.3,96.4
65,Devin Booker,Pho,G,25.37,57,34.3,71.5,31.8,9.6,282,0.865,772,0.492,407,0.373,0.516,0.56,25.6,5.1,8,4.9,22.5,1.21,0.42,2.44,10,110.6,103
66,Brandon Boston Jr.,Lac,G,20.29,48,14.3,29.8,22.6,8.5,67,0.836,190,0.411,105,0.305,0.427,0.475,6.4,2.1,7.6,0.9,9,0.52,0.25,0.63,6.4,95.9,106.8
67,Chris Boucher,Tor,F-C,29.17,65,20.4,42.4,17.7,6.8,158,0.772,268,0.597,173,0.283,0.529,0.577,9.1,6,15.8,0.3,2.2,0.63,1,0.57,5,123.6,101.6
68,James Bouknight,Cha,G,21.48,28,10.6,22,23.2,8,31,0.871,87,0.356,49,0.347,0.415,0.468,5,1.7,8.5,0.8,11,0.25,0.04,0.46,7.1,102,109
69,Avery Bradley,Lal,G,31.3,53,23.5,48.9,12.3,9.8,14,0.857,127,0.449,188,0.388,0.529,0.537,6.5,2.3,5.2,0.8,4.6,0.91,0.17,0.66,3.9,104.2,108.8
70,Tony Bradley,Chi,C-F,24.18,47,10.9,22.7,12.7,19.7,21,0.667,109,0.587,0,0,0.587,0.6,3,3.6,18.7,0.5,6.2,0.23,0.68,0.62,6.4,118.7,101.9
71,Ignas Brazdeikis,Orl,F,23.18,31,9.1,18.9,16.6,8.4,17,0.765,52,0.481,39,0.308,0.473,0.503,3.2,1.3,7.5,0.7,12.4,0.26,0.06,0.29,6.3,106.1,106
72,Miles Bridges,Cha,F,23.98,66,36.2,75.3,22.3,10.4,278,0.802,621,0.588,386,0.311,0.541,0.581,19.9,7.1,10.3,3.7,15.4,0.98,0.88,1.98,8.9,114.5,109
73,Mikal Bridges,Pho,F,25.54,68,34.9,72.8,14.6,6.6,116,0.845,440,0.63,259,0.363,0.598,0.623,13.7,4.4,6.7,2.3,8.8,1.19,0.43,0.78,5.9,125.4,106
74,Oshae Brissett,Ind,F-G,23.73,56,21.8,45.3,16.3,8.9,122,0.664,198,0.455,169,0.343,0.482,0.517,7.8,5,12.6,0.9,5.4,0.57,0.46,0.73,6,109.8,110.2
75,Malcolm Brogdon,Ind,G,29.25,34,33.6,70.1,24.5,10.9,162,0.852,335,0.513,176,0.318,0.501,0.558,19.1,5.3,8.6,6,27.4,0.88,0.38,2.09,10.1,116.2,112.5
76,Armoni Brooks,Hou,G,23.77,41,16.8,35.1,17.3,8.1,19,0.842,38,0.605,213,0.3,0.474,0.49,6.2,2,6.4,1.2,10.4,0.51,0.2,0.56,5.9,100.5,112.2
77,Armoni Brooks,Tor,G,23.77,3,9.9,20.7,5.7,0,0,0,0,0,4,0.25,0.375,0.375,1,1.3,7.3,0.7,8.4,0.67,0.33,0,3.9,122.7,107.6
